Gene_Ensembl_ID,GSM4282198_sh587,GSM4282199_shE,GSM4282200_shE,GSM4282201_sh587,GSM4282202_shE,GSM4282203_sh587,GSM4282204_sh587
ENSG00000135334,52.2391935171674,60.32798874640869,61.53377761733674,61.63202203048041,58.89993537449234,65.27536497031883,57.56205509328251
ENSG00000135336,67.51411159536991,81.44548525477558,83.53517103892013,82.59451841245246,100.84061425551874,58.22134789885716,63.03985589170207
ENSG00000135338,5.06313074036724,3.2405365485984974,5.653744524669829,10.563677850080284,10.316107546455434,6.0874316418444785,4.529719891000793
ENSG00000135341,85.42322607227702,68.9514165618458,74.84272144672748,102.4537255111628,111.35561847703437,73.33709876627503,75.2445164618072
ENSG00000135362,3.5065601411327165,3.2045305869474032,3.9883004011236785,5.237453723989384,6.19231648354073,4.874058442963316,2.4830690432396376
ENSG00000135363,1.5223602563942038,2.8264679896109115,1.4755250568259761,3.2084159616690417,2.0950449773007183,2.6735341670262915,1.504890329236144
ENSG00000135365,38.965580495123554,33.79159500955211,38.1737324107552,59.70443615627608,43.147318709724914,40.349800274658335,44.51465593880514
ENSG00000135372,116.503322542707,141.43141736549887,153.04554945850424,105.77627484696237,144.7437403304724,109.88225426478057,132.610935812289
ENSG00000135378,3.6776118553343125,2.502414334751062,1.7969265543524264,3.309867849785059,3.394503254360657,2.01543344898905,2.844242722256312
ENSG00000135387,427.28718207558666,399.1800938448583,468.7933024602846,477.9398449145567,552.2167286371247,374.5004398580674,358.1488494549099
ENSG00000135390,217.26988737886717,368.376993652347,253.93640136385264,182.22027254238128,186.59160076313736,278.47943196694627,280.3911661432783
ENSG00000135392,33.33797909789105,33.467541354692266,32.98748097339658,38.31076924981097,36.3583122010036,36.73024632545351,35.801340932527864
ENSG00000135404,214.89226855146498,288.53377369104516,249.94810096272894,177.07158922049342,182.91864216369243,235.43553187782294,267.78018518427945
